mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.017293453216552734,0.00036406295836483916,0.003066539764404297,0.0026761607181888035,sag,none,0.1,"{'solver': 'sag', 'penalty': 'none', 'C': 0.1}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,3
0.0035866101582845054,0.0033939385342505964,0.0,0.0,sag,l1,1.0,"{'solver': 'sag', 'penalty': 'l1', 'C': 1.0}",,,,,,6
0.012710014979044596,0.0023560548461849535,0.0030297438303629556,0.0015523536072438297,sag,l2,100,"{'solver': 'sag', 'penalty': 'l2', 'C': 100}",0.8185096153846154,0.8040865384615384,0.8112980769230769,0.811298076923077,0.0058881964970749715,1
0.0,0.0,0.0,0.0,sag,elasticnet,0.1,"{'solver': 'sag', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,6
0.000375668207804362,0.0005312750744293228,0.0,0.0,lbfgs,elasticnet,0.1,"{'solver': 'lbfgs', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,6
0.011172215143839518,0.003444203718753251,0.000648657480875651,0.0009173402067891123,saga,none,10,"{'solver': 'saga', 'penalty': 'none', 'C': 10}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,3
0.0,0.0,0.0,0.0,lbfgs,elasticnet,0.01,"{'solver': 'lbfgs', 'penalty': 'elasticnet', 'C': 0.01}",,,,,,6
0.025430599848429363,0.009887467278284793,0.0008180936177571615,0.0008558338426721504,lbfgs,l2,10,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 10}",0.8173076923076923,0.8040865384615384,0.8125,0.811298076923077,0.005464015102959082,1
0.0005253950754801432,0.0004152120229769565,0.0,0.0,newton-cg,l1,100,"{'solver': 'newton-cg', 'penalty': 'l1', 'C': 100}",,,,,,6
0.007979472478230795,0.001970538564460002,0.0033315817515055337,0.0012823766005977497,lbfgs,none,1.0,"{'solver': 'lbfgs', 'penalty': 'none', 'C': 1.0}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,3
