mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.008993307749430338,2.433998240012098e-06,0.0036214192708333335,0.0005447637702584385,saga,none,100,"{'solver': 'saga', 'penalty': 'none', 'C': 100}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,2
0.0006834665934244791,0.00048372418511638554,0.0,0.0,sag,elasticnet,0.01,"{'solver': 'sag', 'penalty': 'elasticnet', 'C': 0.01}",,,,,,4
0.0010139147440592449,1.6897283124881637e-05,0.0,0.0,newton-cg,l1,100,"{'solver': 'newton-cg', 'penalty': 'l1', 'C': 100}",,,,,,4
0.0006665388743082682,0.00047131537405897025,0.0,0.0,saga,elasticnet,1.0,"{'solver': 'saga', 'penalty': 'elasticnet', 'C': 1.0}",,,,,,4
0.0006721019744873047,0.00047530392672483657,0.0,0.0,sag,elasticnet,100,"{'solver': 'sag', 'penalty': 'elasticnet', 'C': 100}",,,,,,4
0.001024484634399414,0.0008172658057102857,0.0,0.0,sag,l1,0.01,"{'solver': 'sag', 'penalty': 'l1', 'C': 0.01}",,,,,,4
0.0006644725799560547,0.00046986404612105724,0.0,0.0,saga,elasticnet,100,"{'solver': 'saga', 'penalty': 'elasticnet', 'C': 100}",,,,,,4
0.009668191274007162,0.0010083716309059007,0.00330352783203125,0.0004975294017187171,saga,l1,100,"{'solver': 'saga', 'penalty': 'l1', 'C': 100}",0.8185096153846154,0.8040865384615384,0.8112980769230769,0.811298076923077,0.0058881964970749715,1
0.012645244598388672,0.0025172035613705394,0.002620220184326172,0.0009151374297860891,sag,l2,100,"{'solver': 'sag', 'penalty': 'l2', 'C': 100}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,2
0.001361846923828125,0.0004502223287013701,0.0,0.0,liblinear,elasticnet,100,"{'solver': 'liblinear', 'penalty': 'elasticnet', 'C': 100}",,,,,,4
