mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0013103485107421875,0.0004981461672805927,0.0,0.0,saga,elasticnet,1.0,"{'solver': 'saga', 'penalty': 'elasticnet', 'C': 1.0}",,,,,,4
0.0036020278930664062,0.0004918134371863211,0.0,0.0,sag,l1,1.0,"{'solver': 'sag', 'penalty': 'l1', 'C': 1.0}",,,,,,4
0.0026772022247314453,0.0004782945692561312,0.0,0.0,sag,l1,0.1,"{'solver': 'sag', 'penalty': 'l1', 'C': 0.1}",,,,,,4
0.011993726094563803,0.0024497997578649742,0.004013379414876302,0.0013585690412994255,saga,none,0.01,"{'solver': 'saga', 'penalty': 'none', 'C': 0.01}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,2
0.000978708267211914,4.821756658127431e-05,0.0,0.0,saga,elasticnet,100,"{'solver': 'saga', 'penalty': 'elasticnet', 'C': 100}",,,,,,4
0.0010344982147216797,3.447162200243709e-05,0.0,0.0,liblinear,none,100,"{'solver': 'liblinear', 'penalty': 'none', 'C': 100}",,,,,,4
0.0006628036499023438,0.00046867396615584344,0.0,0.0,lbfgs,elasticnet,1.0,"{'solver': 'lbfgs', 'penalty': 'elasticnet', 'C': 1.0}",,,,,,4
0.011968453725179037,0.0037895283152170863,0.003412485122680664,0.00093860619437813,saga,l2,10,"{'solver': 'saga', 'penalty': 'l2', 'C': 10}",0.8173076923076923,0.8040865384615384,0.8125,0.811298076923077,0.005464015102959082,1
0.002003192901611328,7.099030799596179e-05,0.0,0.0,newton-cg,elasticnet,100,"{'solver': 'newton-cg', 'penalty': 'elasticnet', 'C': 100}",,,,,,4
0.018986940383911133,0.001667886964350858,0.005676428476969401,0.0017046816402384504,sag,none,1.0,"{'solver': 'sag', 'penalty': 'none', 'C': 1.0}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,2
