mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.012667576471964518,0.0026342795498567077,0.00633700688680013,0.001886961072445534,liblinear,l1,100,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 100}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,3
0.003657102584838867,0.00048508086548652125,0.00396426518758138,4.511987184103958e-05,liblinear,l2,1.0,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 1.0}",0.8197115384615384,0.8004807692307693,0.8112980769230769,0.8104967948717948,0.007871347237335105,6
0.010710398356119791,0.0009139061175920068,0.0027990341186523438,0.0012213009963356286,saga,l1,100,"{'solver': 'saga', 'penalty': 'l1', 'C': 100}",0.8185096153846154,0.8040865384615384,0.8112980769230769,0.811298076923077,0.0058881964970749715,1
0.0013550917307535808,0.0004948605419186855,0.0,0.0,liblinear,elasticnet,0.1,"{'solver': 'liblinear', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,7
0.0013323624928792317,0.00047794778282375677,0.0,0.0,liblinear,elasticnet,10,"{'solver': 'liblinear', 'penalty': 'elasticnet', 'C': 10}",,,,,,7
0.01128991444905599,0.0004974237587582398,0.005002816518147786,0.0008138099452100919,sag,none,100,"{'solver': 'sag', 'penalty': 'none', 'C': 100}",0.8185096153846154,0.8040865384615384,0.8112980769230769,0.811298076923077,0.0058881964970749715,1
0.04511197408040365,0.0127859195051686,0.0037260055541992188,0.0016607049963762663,newton-cg,none,0.01,"{'solver': 'newton-cg', 'penalty': 'none', 'C': 0.01}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,3
0.05310702323913574,0.004980795732252825,0.0025604565938313804,0.0006346681179873881,newton-cg,none,0.1,"{'solver': 'newton-cg', 'penalty': 'none', 'C': 0.1}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,3
0.0013349850972493489,0.00047418050327822453,0.0,0.0,sag,elasticnet,100,"{'solver': 'sag', 'penalty': 'elasticnet', 'C': 100}",,,,,,7
0.0013311703999837239,0.00046794412084019124,0.0,0.0,saga,elasticnet,10,"{'solver': 'saga', 'penalty': 'elasticnet', 'C': 10}",,,,,,7
